key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,term_start,term_end
c_001,C-001,SR,わんわんポリスブルートップス,トップス,28048,水色,ガールズエール,ポップ,800,C01,プリチケコレクショングミ vol.1,,
c_002,C-002,SR,わんわんポリスブルースカート,ボトムス,28049,水色,ガールズエール,ポップ,750,C01,プリチケコレクショングミ vol.1,,
c_003,C-003,SR,わんわんポリスブルーシューズ,シューズ,28050,黒,ガールズエール,ポップ,700,C01,プリチケコレクショングミ vol.1,,
c_004,C-004,SR,わんわんポリスブルーヘアアクセ,ヘアアクセ,28051,黒,ガールズエール,ポップ,700,C01,プリチケコレクショングミ vol.1,,
c_005,C-005,SR,わんわんポリスピンクトップス,トップス,28052,ピンク,ガールズエール,ポップ,800,C01,プリチケコレクショングミ vol.1,,
c_006,C-006,SR,わんわんポリスピンクスカート,ボトムス,28053,ピンク,ガールズエール,ポップ,750,C01,プリチケコレクショングミ vol.1,,
c_007,C-007,R,ダンシングマーチグリーントップス,トップス,28058,緑,ガールズエール,ポップ,550,C02,プリチケコレクショングミ vol.1,,
c_008,C-008,R,ダンシングマーチグリーンスカート,ボトムス,28059,緑,ガールズエール,ポップ,600,C02,プリチケコレクショングミ vol.1,,
c_009,C-009,R,ダンシングマーチグリーンシューズ,シューズ,28060,緑,ガールズエール,ポップ,650,C02,プリチケコレクショングミ vol.1,,
c_010,C-010,R,ダンシングマーチヘアアクセ,ヘアアクセ,28061,緑,ガールズエール,ポップ,550,C02,プリチケコレクショングミ vol.1,,
c_011,C-011,R,クリームピーチソーダトップス,トップス,28054,ピンク,スイートハニー,ラブリー,650,C03,プリチケコレクショングミ vol.1,,
c_012,C-012,R,クリームピーチソーダスカート,ボトムス,28055,ピンク,スイートハニー,ラブリー,550,C03,プリチケコレクショングミ vol.1,,
c_013,C-013,R,クリームピーチソーダシューズ,シューズ,28056,ピンク,スイートハニー,ラブリー,600,C03,プリチケコレクショングミ vol.1,,
c_014,C-014,R,クリームソーダヘアアクセ,ヘアアクセ,28057,黄色,スイートハニー,ラブリー,550,C03,プリチケコレクショングミ vol.1,,
