key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,term_start,term_end
jp_001,JP-001,SR,ジュエルパクトピンクワンピ,ワンピース,,ピンク,プリズムストーン,プレミアム,1300,JP-01,ジュエルパクト,,
jp_002,JP-002,SR,ジュエルパクトピンクシューズ,シューズ,,ピンク,プリズムストーン,プレミアム,700,JP-01,ジュエルパクト,,
jp_003,JP-003,SR,ジュエルパクトピンクヘアアクセ,ヘアアクセ,,ピンク,プリズムストーン,プレミアム,700,JP-01,ジュエルパクト,,
jp_004,JP-004,SR,ジュエルパクトイエローワンピ,ワンピース,,黄,プリズムストーン,プレミアム,1300,JP-02,ジュエルパクト,,
jp_005,JP-005,SR,ジュエルパクトイエローシューズ,シューズ,,黄,プリズムストーン,プレミアム,700,JP-02,ジュエルパクト,,
jp_006,JP-006,SR,ジュエルパクトイエローヘアアクセ,ヘアアクセ,,黄,プリズムストーン,プレミアム,700,JP-02,ジュエルパクト,,
jp_007,JP-007,SR,ジュエルパクトブルーワンピ,ワンピース,,青,プリズムストーン,プレミアム,1300,JP-03,ジュエルパクト,,
jp_008,JP-008,SR,ジュエルパクトブルーシューズ,シューズ,,青,プリズムストーン,プレミアム,700,JP-03,ジュエルパクト,,
jp_009,JP-009,SR,ジュエルパクトブルーヘアアクセ,ヘアアクセ,,青,プリズムストーン,プレミアム,700,JP-03,ジュエルパクト,,
jp_010,JP-010,SR,ジュエルパクトゴールドワンピ,ワンピース,,ゴールド,プリズムストーン,プレミアム,1300,JP-04,ジュエルパクト,,
jp_011,JP-011,SR,ジュエルパクトゴールドシューズ,シューズ,,ゴールド,プリズムストーン,プレミアム,700,JP-04,ジュエルパクト,,
jp_012,JP-012,SR,ジュエルパクトゴールドヘアアクセ,ヘアアクセ,,ゴールド,プリズムストーン,プレミアム,700,JP-04,ジュエルパクト,,
jp_013,JP-013,SR,ジュエルパクトブラックワンピ,ワンピース,,黒,プリズムストーン,プレミアム,1300,JP-05,ジュエルパクト,,
jp_014,JP-014,SR,ジュエルパクトブラックシューズ,シューズ,,黒,プリズムストーン,プレミアム,700,JP-05,ジュエルパクト,,
jp_015,JP-015,SR,ジュエルパクトブラックヘアアクセ,ヘアアクセ,,黒,プリズムストーン,プレミアム,700,JP-05,ジュエルパクト,,
jp_016,JP-016,SR,フラワーパーティピンクトップス,トップス,,ピンク,キューティーハピネス,ラブリー,800,JP-06,ジュエルパクト,,
jp_017,JP-017,SR,フラワーパーティピンクスカート,ボトムス,,ピンク,キューティーハピネス,ラブリー,700,JP-06,ジュエルパクト,,
jp_018,JP-018,SR,フラワーパーティピンクシューズ,シューズ,,ピンク,キューティーハピネス,ラブリー,750,JP-06,ジュエルパクト,,
jp_019,JP-019,SR,フラワーパーティピンクヘアアクセ,ヘアアクセ,,ピンク,キューティーハピネス,ラブリー,700,JP-06,ジュエルパクト,,
jp_020,JP-020,SR,フラワーパーティイエロートップス,トップス,,黄,キューティーハピネス,ラブリー,800,JP-07,ジュエルパクト,,
jp_021,JP-021,SR,フラワーパーティイエロースカート,ボトムス,,黄,キューティーハピネス,ラブリー,700,JP-07,ジュエルパクト,,
jp_022,JP-022,SR,フラワーパーティイエローシューズ,シューズ,,黄,キューティーハピネス,ラブリー,750,JP-07,ジュエルパクト,,
