key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,term_start,term_end
mf_01,MF-01,PR,ハロウィンマジカルグリーントップス,トップス,,緑,スイートハニー,ラブリー,850,MF01,モーリーファンタジー・PALOパロ限定,2018-10-18,2018-11-04
mf_02,MF-02,PR,ハロウィンマジカルグリーンスカート,ボトムス,,緑,スイートハニー,ラブリー,800,MF01,モーリーファンタジー・PALOパロ限定,2018-10-18,2018-11-04
mf_03,MF-03,PR,ハロウィンマジカルグリーンシューズ,シューズ,,緑,スイートハニー,ラブリー,750,MF01,モーリーファンタジー・PALOパロ限定,2018-10-18,2018-11-04
mf_04,MF-04,PR,ハロウィンマジカルグリーンヘアアクセ,ヘアアクセ,,黄,スイートハニー,ラブリー,750,MF01,モーリーファンタジー・PALOパロ限定,2018-10-18,2018-11-04
mf_05,MF-05,PR,クリスマスサンタグリーントップス,トップス,,緑,スイートハニー,ラブリー,850,MF02,モーリーファンタジー・PALOパロ限定,2018-12-20,2018-12-31
mf_06,MF-06,PR,クリスマスサンタグリーンスカート,ボトムス,,緑,スイートハニー,ラブリー,800,MF02,モーリーファンタジー・PALOパロ限定,2018-12-20,2018-12-31
mf_07,MF-07,PR,クリスマスサンタグリーンシューズ,シューズ,,緑,スイートハニー,ラブリー,750,MF02,モーリーファンタジー・PALOパロ限定,2018-12-20,2018-12-31
mf_08,MF-08,PR,クリスマスサンタグリーンヘアアクセ,ヘアアクセ,,緑,スイートハニー,ラブリー,750,MF02,モーリーファンタジー・PALOパロ限定,2018-12-20,2018-12-31
mf_09,MF-09,PR,エンジェルナースグリーントップス,トップス,,緑,スイートハニー,ラブリー,850,MF03,モーリーファンタジー・PALOパロ限定,2019-02-21,2019-03-10
mf_10,MF-10,PR,エンジェルナースグリーンスカート,ボトムス,,緑,スイートハニー,ラブリー,800,MF03,モーリーファンタジー・PALOパロ限定,2019-02-21,2019-03-10
mf_11,MF-11,PR,エンジェルナースグリーンシューズ,シューズ,,緑,スイートハニー,ラブリー,750,MF03,モーリーファンタジー・PALOパロ限定,2019-02-21,2019-03-10
mf_12,MF-12,PR,エンジェルナースグリーンヘアアクセ,ヘアアクセ,,緑,スイートハニー,ラブリー,750,MF03,モーリーファンタジー・PALOパロ限定,2019-02-21,2019-03-10
mf_13,MF-13,SR,スクール☆ガールララちゃんトップス,トップス,,緑,ガールズエール,ポップ,800,MF04,モーリーファンタジー・PALOパロ限定,2019-03-21,2019-04-03
mf_14,MF-14,SR,スクール☆ガールララちゃんスカート,ボトムス,,ピンク,ガールズエール,ポップ,750,MF04,モーリーファンタジー・PALOパロ限定,2019-03-21,2019-04-03
mf_15,MF-15,SR,スクール☆ガールララちゃんシューズ,シューズ,,ピンク,ガールズエール,ポップ,700,MF04,モーリーファンタジー・PALOパロ限定,2019-03-21,2019-04-03
mf_16,MF-16,SR,スクール☆ガールララちゃんヘアアクセ,ヘアアクセ,,ピンク,ガールズエール,ポップ,700,MF04,モーリーファンタジー・PALOパロ限定,2019-03-21,2019-04-03
mf_17,MF-17,SR,ミラクルアイドルレッドトップス,トップス,,赤,ドーリーワルツ,ラブリー,750,MF05,モーリーファンタジー・PALOパロ限定,2019-05-09,2019-05-22
mf_18,MF-18,SR,ミラクルアイドルレッドスカート,ボトムス,,赤,ドーリーワルツ,ラブリー,700,MF05,モーリーファンタジー・PALOパロ限定,2019-05-09,2019-05-22
mf_19,MF-19,SR,ミラクルアイドルレッドシューズ,シューズ,,赤,ドーリーワルツ,ラブリー,650,MF05,モーリーファンタジー・PALOパロ限定,2019-05-09,2019-05-22
mf_20,MF-20,SR,ミラクルアイドルレッドヘアアクセ,ヘアアクセ,,赤,ドーリーワルツ,ラブリー,650,MF05,モーリーファンタジー・PALOパロ限定,2019-05-09,2019-05-22
mf_21,MF-21,SR,サーカスヒロインピンクトップス,トップス,,ピンク,スイートハニー,ラブリー,750,MF06,モーリーファンタジー・PALOパロ限定,2019-06-06,2019-06-23
mf_22,MF-22,SR,サーカスヒロインピンクスカート,スカート,,ピンク,スイートハニー,ラブリー,700,MF06,モーリーファンタジー・PALOパロ限定,2019-06-06,2019-06-23
mf_23,MF-23,SR,サーカスヒロインピンクシューズ,シューズ,,白,スイートハニー,ラブリー,650,MF06,モーリーファンタジー・PALOパロ限定,2019-06-06,2019-06-23
mf_24,MF-24,SR,サーカスヒロインピンクヘアアクセ,ヘアアクセ,,白,スイートハニー,ラブリー,650,MF06,モーリーファンタジー・PALOパロ限定,2019-06-06,2019-06-23
mf_25,MF-25,PR,ひまわりスマイルパープルトップス,トップス,,黄,スイートハニー,ラブリー,900,MF07,モーリーファンタジー・PALO限定,2019-07-25,2019-08-11
mf_26,MF-26,PR,ひまわりスマイルパープルスカート,ボトムス,,紫,スイートハニー,ラブリー,850,MF07,モーリーファンタジー・PALO限定,2019-07-25,2019-08-11
mf_27,MF-27,PR,ひまわりスマイルパープルシューズ,シューズ,,黄,スイートハニー,ラブリー,800,MF07,モーリーファンタジー・PALO限定,2019-07-25,2019-08-11
mf_28,MF-28,PR,ひまわりスマイルパープルヘアアクセ,ヘアアクセ,,黄,スイートハニー,ラブリー,800,MF07,モーリーファンタジー・PALO限定,2019-07-25,2019-08-11
