prefecture,name,address
香川県,モーリーファンタジー綾川,香川県綾歌郡綾川町萱原８２２－１イオン３Ｆ
香川県,モーリーファンタジー・ｆ綾川,香川県綾歌郡綾川町萱原８２２－１イオンＳＣ３Ｆ
香川県,イオン綾川,香川県綾歌郡綾川町萱原８２２－１玩具売場
香川県,ペリカン丸亀,香川県丸亀市新田町１５０ゆめタウン丸亀内３Ｆ　玩具売場
香川県,フジグラン丸亀,香川県丸亀市川西町南１２８０－１　玩具売場
香川県,タイトーステーション丸亀,香川県丸亀市川西町南１２８０番地１　フジグラン丸亀　バッハ棟２Ｆ
香川県,トイザらス丸亀,香川県丸亀市蓬莱町５６－１　パブリックプラザ丸亀内
香川県,ハローズ円座店,香川県高松市円座町８４５－３
香川県,モーリーファンタジー高松,香川県高松市香西本町１－１イオン３Ｆ
香川県,イオン高松,香川県高松市香西本町１－１玩具売場
香川県,ペリカン高松,香川県高松市三条町字中所６０８－１ゆめタウン高松内２Ｆ　玩具売場
香川県,フジグラン十川,香川県高松市十川東町５５番地１　玩具売場
香川県,ハローズ高松春日,香川県高松市春日町１０７２－１
香川県,プリズムストーン  高松店,香川県高松市常磐町1-3-1瓦町FLAG3F　アニメガ高松店内
香川県,ヤマダ電機テックランドＮｅｗ高松レインボー通り,香川県高松市伏石町２０８４玩具売場
香川県,アミュージアム高松店,香川県高松市伏石町２１４４－９ 　１Ｆ
香川県,モーリーファンタジー高松東,香川県高松市福岡町３-８-５イオン３F
香川県,ポップンパーク坂出,香川県坂出市江尻町北新開１１６６－１
香川県,ペリカン三豊,香川県三豊市豊中町本山甲２２番地ゆめタウン２Ｆ　玩具売場
香川県,ポップンパーク豊中,香川県三豊市豊中町本山甲国繋９４４
