key,prefecture,name,address
okayama_0,岡山県,プレビエブリイＯｋａｎａｋａ津高,岡山県岡山市横井８３番３号エブリイｏｋａｎａｋａ津高店プレビゲームコーナー
okayama_1,岡山県,こどもや西大寺店,岡山県岡山市西大寺南１－２－１天満屋ハピータウン西大寺店内玩具売場
okayama_2,岡山県,こころっこ原尾島,岡山県岡山市中区原尾島１－６－２０天満屋ハピータウン３Ｆ
okayama_3,岡山県,ハローズ江崎,岡山県岡山市中区江崎６９０番地１
okayama_4,岡山県,アミューズメントプレイス・ギミック・セガ,岡山県岡山市中区藤崎５９９－１２
okayama_5,岡山県,ふぇすたらんど平島,岡山県岡山市東区東平島１６０９マルナカ平島店内
okayama_6,岡山県,ハローズ岡南,岡山県岡山市南区松浜町４－７
okayama_7,岡山県,ふぇすたらんど築港,岡山県岡山市南区築港元町１４－１　山陽マルナカ築港店内
okayama_8,岡山県,こころっこ岡南,岡山県岡山市南区築港新町１－１８－５天満屋ハピータウン３Ｆ
okayama_9,岡山県,ハローズ当新田,岡山県岡山市南区当新田１２６－３
okayama_10,岡山県,ビックカメラ岡山駅前,岡山県岡山市北区駅前町１－１－１　トイズコーナー
okayama_11,岡山県,セガイオンモール岡山,岡山県岡山市北区下石井１丁目１８番１
okayama_12,岡山県,モーリーファンタジー・ｆ岡山,岡山県岡山市北区下石井１丁目２番１号イオンモール４Ｆ
okayama_13,岡山県,ミスターマックス岡山西,岡山県岡山市北区久米３１０番地１号
okayama_14,岡山県,アミパラ岡山店,岡山県岡山市北区青江１丁目１３－８
okayama_15,岡山県,こころっこ岡北,岡山県岡山市北区中井町２－２－７天満屋ハピータウン３Ｆ
okayama_16,岡山県,ハローズ津高,岡山県岡山市北区津高６４０－１
okayama_17,岡山県,ハローズ花尻,岡山県岡山市北区白石西新町９－１１６
okayama_18,岡山県,ハローズ庭瀬,岡山県岡山市北区平野１１００－１
okayama_19,岡山県,ハローズ笠岡,岡山県笠岡市富岡２３２－１
okayama_20,岡山県,こころっこ玉野,岡山県玉野市宇野１－３８－１天満屋ハピータウン３Ｆ
okayama_21,岡山県,こころっこ高梁,岡山県高梁市中原町１０８４番地の１ポルカ天満屋ハッピータウン内２階
okayama_22,岡山県,ハッピーランド山陽,岡山県赤磐市下市１３３
okayama_23,岡山県,タイトーＦステーションマルナカ新倉敷,岡山県倉敷市玉島爪先９８１－１
okayama_24,岡山県,エディオン倉敷本店,岡山県倉敷市笹沖１２０９－１
okayama_25,岡山県,こころっこ児島,岡山県倉敷市児島駅前２－３５天満屋ハピータウン３Ｆ
okayama_26,岡山県,ハローズ中庄,岡山県倉敷市松島９７１－１
okayama_27,岡山県,ふぇすたらんど倉敷マスカット,岡山県倉敷市松島字羽伏１１６３番地２山陽マルナカ倉敷マスカット店別棟３Ｆ
okayama_28,岡山県,モーリーファンタジー倉敷,岡山県倉敷市水江１番地イオン１Ｆ
okayama_29,岡山県,ユーズランド倉敷,岡山県倉敷市水江一番地イオンモール倉敷２Ｆ
okayama_30,岡山県,モーリーファンタジー水島,岡山県倉敷市水島高砂町３番１１号
okayama_31,岡山県,ふぇすたらんど中島,岡山県倉敷市中島２７８０－１山陽マルナカ中島店内
okayama_32,岡山県,ハローズ田ノ上,岡山県倉敷市田ノ上１００８
okayama_33,岡山県,ハローズ総社,岡山県総社市井出５９６番地１
okayama_34,岡山県,こどもやリブ総社,岡山県総社市門田１８７リブ総社２１店内３Ｆ　玩具売場
okayama_35,岡山県,モーリーファンタジー津山,岡山県津山市河辺１０００－１イオン２Ｆ
okayama_36,岡山県,イオン津山,岡山県津山市河辺１０００－１玩具売場
