series,prefecture,name,address,latitude,longitude,group
primagi,佐賀県,namcoモラージュ佐賀店,佐賀県佐賀市巨勢町大字牛島730ﾓﾗｰｼﾞｭ佐賀南館1F,33.252517,130.318773,1
primagi,佐賀県,namcoゆめタウン佐賀店,佐賀県佐賀市兵庫北5-14-1ゆめﾀｳﾝ佐賀店2F,33.275913,130.307849,1
primagi,佐賀県,セガ武雄,佐賀県武雄市武雄町大字富岡12517-1,33.199356,130.034656,1
primagi,佐賀県,タイトーFステーション モラージュ佐賀,佐賀県佐賀市巨勢町大字牛島730 ﾓﾗｰｼﾞｭ佐賀北館2階,33.252517,130.318773,1
primagi,佐賀県,パスカランド鳥栖,佐賀県鳥栖市本鳥栖町537-1 ﾌﾚｽﾎﾟ鳥栖店2F,33.375891,130.516848,1
primagi,佐賀県,ペリカン武雄,佐賀県武雄市武雄町武雄大字武雄4992,33.188743,130.025012,1
primagi,佐賀県,ポップンパーク佐賀,佐賀県佐賀市東与賀町大字下古賀字一本杉87番地1,33.222781,130.308482,1
primagi,佐賀県,モーリーファンタジー佐賀,佐賀県佐賀市東与賀町大字下古賀字一本杉87-1 ｲｵﾝSC佐賀店1階,33.181094,130.280778,1
primagi,佐賀県,モーリーファンタジー佐賀大和,佐賀県佐賀市大和町大字尼寺3535 ｲｵﾝ佐賀大和店2階,33.303252,130.280987,1
primagi,佐賀県,モーリーファンタジー唐津,佐賀県唐津市鏡字立神4671 ｲｵﾝ唐津店2階,33.436900,130.012350,1
primagi,佐賀県,ゆめタウン武雄店,佐賀県武雄市武雄町武雄4992ゆめﾀｳﾝ武雄2Fゆめｷｯｽﾞ,33.188736,130.025108,1
