series,prefecture,name,address
primagi,和歌山県,namcoオークワパビリオンシティ田辺店,和歌山県田辺市和歌山県田辺市稲成町新江原3165ﾊﾟﾋﾞﾘｵﾝｼﾃｨ田辺店C館2F
primagi,和歌山県,namcoパームシティ和歌山店,和歌山県和歌山市中野31-1ﾊﾟｰﾑｼﾃｨ和歌山店2F
primagi,和歌山県,NICOPA和歌山,和歌山県和歌山市新生町7番20号 ｲｽﾞﾐﾔ和歌山店2階
primagi,和歌山県,PALO橋本彩の台,和歌山県橋本市あやの台1-50-2 ｵｰ･ｽﾄﾘｰﾄ彩の台内
primagi,和歌山県,PALO田辺,和歌山県田辺市宝来町24-26 ｸﾞﾙﾒｼﾃｨ田辺店3階
primagi,和歌山県,タイトーFステーション スーパーセンターオークワ南紀,和歌山県新宮市佐野3-11-19 ｽｰﾊﾟｰｾﾝﾀｰｵｰｸﾜ南紀店
primagi,和歌山県,タイトーFステーション セントラルシティ和歌山,和歌山県和歌山市小雑賀805-1 ｾﾝﾄﾗﾙｼﾃｨ和歌山店1階
primagi,和歌山県,タイトーFステーション 御坊,和歌山県御坊市湯川町財部181番地
primagi,和歌山県,ペリカン和歌山,和歌山県和歌山市新生町7-20ｲｽﾞﾐﾔ内2F
primagi,和歌山県,モーリーファンタジー新宮,和歌山県新宮市橋本2-14-23 ｲｵﾝ新宮店2階
primagi,和歌山県,モーリーファンタジー和歌山,和歌山県和歌山市中字楠谷573 ｲｵﾝ3F
