series,prefecture,name,address,latitude,longitude,group
primagi,岡山県,GiGOイオンモール岡山,岡山県岡山市北区下石井１－２－１イオンモール岡山内６Ｆ,34.662082,133.917726,1
primagi,岡山県,GiGO倉敷,岡山県倉敷市西中新田535-2,34.583892,133.769928,1
primagi,岡山県,アミパラ岡山,岡山県岡山市北区青江1丁目13-8,34.636182,133.920024,1
primagi,岡山県,こころっこ岡南,岡山県岡山市南区築港新町1-18-5 天満屋ﾊﾋﾟｰﾀｳﾝ岡南店3Fﾌﾟﾚﾋﾞﾌﾟﾚｲﾗﾝﾄﾞ,34.604155,133.941148,1
primagi,岡山県,こころっこ原尾島,岡山県岡山市中区原尾島1-6-20 天満屋ﾊﾋﾟｰﾀｳﾝ原尾島店3Fﾌﾟﾚﾋﾞﾌﾟﾚｲﾗﾝﾄﾞ,34.671658,133.947217,1
primagi,岡山県,こころっこ高梁,岡山県高梁市中原町1084番地の1 ﾎﾟﾙｶ天満屋ﾊｯﾋﾟｰﾀｳﾝ内2階ﾌﾟﾚﾋﾞﾌﾟﾚｲﾗﾝﾄﾞ,34.783196,133.610577,1
primagi,岡山県,こどもや西大寺,岡山県岡山市東区西大寺南1-2-1 天満屋ﾊﾋﾟｰﾀｳﾝ西大寺店2F,34.652472,134.030180,1
primagi,岡山県,タイトーFステーション マルナカ新倉敷,岡山県倉敷市玉島爪先981-1,34.562581,133.685475,1
primagi,岡山県,ハッピーランド山陽,岡山県赤磐市下市133 ﾏﾙﾅｶ山陽店内2F,34.750613,134.017838,1
primagi,岡山県,ビックカメラ岡山駅前,岡山県岡山市北区駅前町1-1-1,34.666090,133.919847,1
primagi,岡山県,ふぇすたらんど平島,岡山県岡山市東区東平島1609 山陽ﾏﾙﾅｶ平島店1F,34.707824,134.049794,1
primagi,岡山県,モーリーファンタジーf岡山,岡山県岡山市北区下石井1-2-1 ｲｵﾝﾓｰﾙ4階,34.661976,133.918409,2
primagi,岡山県,モーリーファンタジー水島,岡山県倉敷市水島高砂町3-11 ﾏｯｸｽﾊﾞﾘｭ水島店1階,34.529575,133.736387,1
primagi,岡山県,モーリーファンタジー倉敷,岡山県倉敷市水江1 ｲｵﾝ倉敷店1階,34.602225,133.745084,1
primagi,岡山県,モーリーファンタジー津山,岡山県津山市河辺1000-1 ｲｵﾝ津山店2階,35.064870,134.045627,1
