series,prefecture,name,address,latitude,longitude,group
primagi,滋賀県,GIGOエイスクエア草津,滋賀県草津市西渋川1-23-23 A/SQUARE SARA南館2F,35.024197,135.959780,1
primagi,滋賀県,namcoアルプラザ水口店,滋賀県甲賀市水口町名坂４１９－１　アルプラザ水口店新館２Ｆ,34.977262,136.172035,1
primagi,滋賀県,namcoビバシティ彦根店,滋賀県彦根市竹ヶ鼻町４３-１　ビバシティ彦根２Ｆ,35.243791,136.251131,1
primagi,滋賀県,THE 3RD PLANET 大津,滋賀県大津市打出浜14-30 Oh!Me大津ﾃﾗｽ6F,35.004414,135.879514,1
primagi,滋賀県,アピナキッズパーク大津京,滋賀県大津市二本松1番1号 BRANCH大津京A棟,35.029516,135.865158,1
primagi,滋賀県,アル・プラザ八日市,滋賀県東近江市八日市浜野町3-1,35.114688,136.197111,1
primagi,滋賀県,ゲームフィールド 守山,滋賀県守山市今浜町2620-5ﾋﾟｴﾘ守山店1F,35.121949,135.945233,1
primagi,滋賀県,タイトーFステーション イオン近江八幡,滋賀県近江八幡市鷹飼町南3丁目7番地 ｲｵﾝ近江八幡2番街1階,35.120598,136.104662,1
primagi,滋賀県,ビバシティ平和堂,滋賀県彦根市竹ｹ鼻町43-1,35.243726,136.250131,1
primagi,滋賀県,モーリーファンタジーイオン近江八幡,滋賀県近江八幡市鷹飼町南3-7 ｲｵﾝ近江八幡店3階,35.121825,136.102794,1
primagi,滋賀県,モーリーファンタジーベイシア彦根,滋賀県彦根市馬場2-1-1 1F,35.278323,136.243016,1
primagi,滋賀県,モーリーファンタジー草津,滋賀県草津市新浜町300 ｲｵﾝ草津店3階,34.998466,135.910826,1
primagi,滋賀県,モーリーファンタジー大津一里山,滋賀県大津市一里山7-1-1 ﾌｫﾚｵ大津一里山2F,34.974207,135.933241,1
primagi,滋賀県,モーリーファンタジー大津京,滋賀県大津市皇子が丘3-11-1 ｲｵﾝｽﾀｲﾙ大津京4階,35.024324,135.859529,1
primagi,滋賀県,モーリーファンタジー長浜,滋賀県長浜市山階町271-1 ｲｵﾝ長浜店2階,35.396901,136.289495,1
