series,prefecture,name,address
primagi,長崎県,namcoゆめタウン夢彩都店,長崎県長崎市元船町10-1夢彩都4F 夢彩都4F
primagi,長崎県,セガみらい長崎ココウォーク,長崎県長崎市茂里町１－５５みらい長崎ココウォーク ５Ｆ
primagi,長崎県,ハイテクセガもみの木村,長崎県諫早市小川町９０－１
primagi,長崎県,モーリーファンタジーチトセピア,長崎県長崎市千歳町5-1 ｲｵﾝﾁﾄｾﾋﾟｱ千歳店3F
primagi,長崎県,モーリーファンタジー壱岐,長崎県壱岐市芦辺町箱崎中山触字干拓2604-2 ｲｵﾝ壱岐店2F
primagi,長崎県,モーリーファンタジー時津,長崎県西彼杵郡時津町浜田郷751-5 ｲｵﾝ時津店2階
primagi,長崎県,モーリーファンタジー大村,長崎県大村市幸町25-200 ｲｵﾝ大村店2階
primagi,長崎県,モーリーファンタジー大塔,長崎県佐世保市大塔町14-2 ｲｵﾝ大塔店3階
primagi,長崎県,モーリーファンタジー長崎,長崎県長崎市新地町3-17 ｲｵﾝ長崎店5F
primagi,長崎県,モーリーファンタジー東長崎,長崎県長崎市田中町1027-8 ｲｵﾝ東長崎店2階
primagi,長崎県,モーリーファンタジー有家,長崎県南島原市有家町山川135-1 ｲｵﾝ有家店1階
