series,prefecture,name,address,latitude,longitude,group
primagi,静岡県,AMららぽーと沼津,静岡県沼津市東椎路字東荒301-3 ららぽｰと沼津3F,35.118874,138.840259,1
primagi,静岡県,GiGO サントムーンオアシス,静岡県駿東郡清水町伏見52-1 サントムーンオアシス３階,35.109631,138.901288,2
primagi,静岡県,GiGO掛川,静岡県掛川市細田248,34.773801,137.985433,1
primagi,静岡県,GiGO静岡,静岡県静岡市葵区七間町4,34.974070,138.381506,1
primagi,静岡県,GiGO袋井,静岡県袋井市川井1142-1,34.746268,137.911503,1
primagi,静岡県,namcoアピタ磐田店,静岡県磐田市今之浦3-1-11ｱﾋﾟﾀ磐田店2階,34.718088,137.856966,2
primagi,静岡県,namcoプレ葉ウォーク浜北店,静岡県浜松市浜北区貴布祢1200番地 ﾌﾟﾚ葉ｳｫｰｸ浜北2階,34.797785,137.779482,1
primagi,静岡県,namcoららぽーと磐田店,静岡県磐田市高見丘1200番地ららぽｰと磐田店2F,34.750592,137.840799,1
primagi,静岡県,THE 3RD PLANET BiVi沼津,静岡県沼津市大手町1-1-5 BiVi沼津3F,35.104024,138.860979,2
primagi,静岡県,アピタ大仁,静岡県伊豆の国市吉田字九十分153-1,34.998412,138.944216,1
primagi,静岡県,アピタ磐田,静岡県磐田市今之浦3-1-11,34.718088,137.856966,1
primagi,静岡県,アピナ磐田,静岡県磐田市西貝塚横須賀道北3690 ｲｵﾝﾀｳﾝ磐田内,34.729060,137.877071,1
primagi,静岡県,アピナ浜松,静岡県浜松市中区葵西2-27-10 ｲｵﾝﾀｳﾝ内,34.767218,137.707240,1
primagi,静岡県,アミュージアム清水,静岡県静岡市清水区入船町13-15ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞ3F,35.010611,138.492824,1
primagi,静岡県,アミューズメントパーク静岡,静岡県静岡市葵区柚木191 MARKIS静岡3階,34.984471,138.409542,2
primagi,静岡県,イトーヨーカドー三島,静岡県三島市中田町9-30,35.114137,138.919220,1
primagi,静岡県,キッズトレイン三島,静岡県駿東郡清水町伏見58-1 ｻﾝﾄﾑｰﾝｱﾈｯｸｽ3F,35.108966,138.900482,1
primagi,静岡県,ｻｰﾌﾟﾗOZ浜松あそびﾀｳﾝ,静岡県浜松市東区宮竹町322番地の1,34.722885,137.765568,1
primagi,静岡県,サープラ富士あそびタウン,静岡県富士市永田町2-94,35.163559,138.669348,2
primagi,静岡県,ソユー竜宮タウン 静岡,静岡県静岡市駿河区石田一丁目5番1号ｱﾋﾟﾀ静岡SC2F,34.959722,138.401666,1
primagi,静岡県,タイトーFステーション イオンモール浜松市野,静岡県浜松市東区天王町字諏訪1981-3 ｲｵﾝﾓｰﾙ浜松市野店2F,34.718320,137.780598,1
primagi,静岡県,タイトーFステーション イオン富士宮,静岡県富士宮市浅間町1番8号 ｲｵﾝ富士宮ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ3階,35.220595,138.612471,1
primagi,静岡県,タイトーFステーション プレ葉ウォーク浜北,静岡県浜松市浜北区貴布祢1200番地,34.797673,137.779498,1
primagi,静岡県,タイトーFステーション 静岡,静岡県静岡市葵区呉服町二丁目5番地4 ふしみや第2ﾋﾞﾙ,34.974614,138.383356,1
primagi,静岡県,タイトーステーション 新浜松ザザシティ,静岡県浜松市中区鍛冶町15番地 ｻﾞｼﾃｨ西館2F,34.704855,137.729186,1
primagi,静岡県,トイザらス静岡,静岡県静岡市清水区鳥坂860ｸﾚｯｾ静岡2F,35.013202,138.434150,1
primagi,静岡県,パレット藤枝,静岡県藤枝市前島1-7-10 BiVi藤枝4F,34.847342,138.252961,1
primagi,静岡県,ハローズガーデン島田,静岡県島田市宝来町8-2 ｱﾋﾟﾀ島田店2F,34.827770,138.184955,1
primagi,静岡県,ビックカメラ浜松,静岡県浜松市中区砂山町322-1,34.703422,137.733894,1
primagi,静岡県,メルヘンランド ウェルディ長泉,静岡県駿東郡長泉町下長窪字城山1076-1 ｳｪﾙﾃﾞｨ長泉2F,35.148242,138.891053,1
primagi,静岡県,モーリーファンタジーf富士南,静岡県富士市鮫島118-10 ｲｵﾝ富士南SC店2階,35.140927,138.675200,1
primagi,静岡県,モーリーファンタジー焼津,静岡県焼津市祢宜島555 ｲｵﾝ焼津店2階,34.839168,138.309799,1
primagi,静岡県,モーリーファンタジー裾野,静岡県裾野市佐野1039 ﾏｯｸｽﾊﾞﾘｭｰﾍﾞﾙｼﾃｨｰ裾野店,35.175943,138.907848,1
primagi,静岡県,モーリーファンタジー清水,静岡県静岡市清水区上原1-6-16 ｲｵﾝ清水店2階,35.009591,138.458630,1
primagi,静岡県,モーリーファンタジー袋井,静岡県袋井市上山梨4-1-の1 ｲｵﾝ袋井店2階,34.784949,137.902930,1
primagi,静岡県,モーリーファンタジー浜松市野,静岡県浜松市東区天王町字諏訪1981-3 ｲｵﾝ浜松市野店2階,34.740456,137.764569,1
primagi,静岡県,モーリーファンタジー浜松志都呂,静岡県浜松市西区志都呂町2-37-1 ｲｵﾝ3F,34.696654,137.650131,1
primagi,静岡県,モーリーファンタジー浜松西,静岡県浜松市西区入野町6244-1 ｲｵﾝ浜松西店3階,34.699100,137.689926,1
primagi,静岡県,モーリーファンタジー富士宮,静岡県富士宮市浅間町1-8 ｲｵﾝ富士宮店2階,35.220595,138.612471,1
